Trial,Distance_KM,Dijkstra_Visited,AStar_Visited,Efficiency_Gain_Percent,Time_AStar_MS
0,33.8734,260954,29890,88.5459,66.5038
1,29.6527,260430,75428,71.0371,126.098
2,16.0762,69727,15603,77.6227,16.622
3,74.4097,308404,134669,56.3336,168.092
4,13.4995,135989,2676,98.0322,2.5182
5,11.2697,74162,6437,91.3204,6.5616
6,10.622,17152,761,95.5632,0.7871
7,17.3414,92995,9280,90.021,31.8578
8,16.2769,78133,5438,93.0401,8.5405
9,24.0631,224340,59695,73.3908,96.0047
10,43.2114,90736,20075,77.8754,21.9116
11,32.9699,146640,44112,69.9182,55.157
12,17.0036,186166,12378,93.3511,11.3549
13,25.1123,49742,12442,74.9869,12.0835
14,26.4543,221832,4985,97.7528,5.5827
15,42.34,289396,50862,82.4248,92.9611
16,34.974,260988,63387,75.7127,79.9249
17,37.6787,157998,24816,84.2935,33.2603
18,64.2202,309502,187446,39.4363,328.039
19,64.6064,157263,14694,90.6564,24.2775
20,21.1924,78502,16627,78.8196,27.5555
21,9.67088,101020,8964,91.1265,10.0686
22,30.5665,267458,40785,84.7509,47.9624
23,34.9237,199946,55829,72.078,64.7599
24,21.3756,152422,24706,83.7911,26.3966
25,22.92,21715,2240,89.6845,2.8173
26,23.4635,232317,79723,65.6835,176.892
27,30.4562,74705,8985,87.9727,12.8606
28,15.7083,131535,18493,85.9406,19.2764
29,30.4538,262401,84219,67.9045,98.861
30,16.2437,91202,12528,86.2635,11.4767
31,41.2366,281316,84141,70.0902,132.184
32,79.8176,303020,159581,47.3365,255.855
33,40.8514,235138,75299,67.9767,136.426
34,10.3292,77102,8032,89.5826,7.7532
35,37.2068,286030,89922,68.562,171.775
36,7.35215,36029,5838,83.7964,11.8959
37,20.8669,153007,39744,74.0247,43.787
38,26.9357,142338,30919,78.2778,53.189
39,49.3071,146436,23484,83.963,49.3606
40,32.1572,236327,9511,95.9755,14.1996
41,31.6942,268809,60568,77.468,72.5724
42,36.0467,264744,11744,95.564,11.3728
43,11.7425,124070,7871,93.656,8.8912
44,36.8043,207442,54048,73.9455,97.1395
45,28.0991,95728,28812,69.9022,51.181
46,30.5126,246935,64307,73.9579,111.924
47,21.8161,189715,35570,81.2508,44.8359
48,12.4043,20341,3602,82.2919,3.0729
49,8.41066,70817,13763,80.5654,15.0487
50,46.9287,265824,111781,57.9492,206.13
51,73.71,305993,118373,61.3151,162.466
52,14.9773,66714,13166,80.265,18.0695
53,17.8872,156223,25082,83.9447,35.3406
54,7.65258,37871,3854,89.8233,5.0736
55,40.189,282842,54882,80.5962,113.63
56,45.374,303133,90928,70.0039,131.373
57,10.0452,92215,12793,86.127,13.673
58,17.9388,201005,31203,84.4765,30.8864
59,32.7622,128615,17197,86.6291,16.9635
60,36.9633,162920,28676,82.3987,42.9958
61,42.6029,287213,59458,79.2983,96.6006
62,50.1518,311080,130272,58.1227,333.778
63,56.7091,173711,38283,77.9617,89.2946
64,4.56394,25073,1824,92.7252,2.5247
65,26.2501,194043,66947,65.4989,118.892
66,15.7243,128991,14255,88.9488,16.4965
67,52.013,269925,32040,88.13,39.7592
68,7.60463,17345,2463,85.7999,2.2719
69,29.6259,249199,27104,89.1236,35.9139
70,56.8544,305928,136745,55.3016,284.255
71,33.3712,192722,66872,65.3013,108.269
72,19.6598,154759,6876,95.557,7.2586
73,13.4913,120491,22399,81.4102,24.1629
74,2.69248,6659,1309,80.3424,1.4939
75,15.37,150480,17547,88.3393,23.2828
76,21.8706,187941,56675,69.8443,115.884
77,17.0824,202098,41791,79.3214,66.7285
78,45.9168,268877,130584,51.4336,172.295
79,21.0751,102345,22249,78.2608,29.4614
80,9.75935,47147,8093,82.8345,8.1818
81,9.7705,8915,945,89.3999,1.2076
82,35.7341,204390,47333,76.8418,107.312
83,24.7691,154566,17551,88.645,31.9203
84,45.7425,296649,63731,78.5164,88.3431
85,18.6563,172060,40485,76.4704,62.9836
86,10.0298,58787,7261,87.6486,6.6909
87,30.8871,142961,29024,79.698,59.0768
88,6.62579,46860,7259,84.5092,10.7947
89,40.2145,287551,98538,65.732,204.16
90,8.62916,78424,7681,90.2058,9.0394
91,36.9456,117625,32757,72.1513,42.6336
92,18.4325,198284,58780,70.3557,75.561
93,56.2241,284420,103345,63.6647,218.239
94,14.8393,159607,34369,78.4665,49.126
95,58.9234,308324,145220,52.9002,457.837
96,19.1743,150533,25456,83.0894,70.3602
97,4.88372,19157,2532,86.7829,4.9412
98,10.0599,73526,7771,89.4309,9.8531
99,36.7936,164329,28197,82.8411,30.1634
100,25.4808,228580,55973,75.5127,66.327
101,10.2149,20924,2196,89.5049,3.7358
102,36.3544,281870,35010,87.5794,64.6897
103,28.1888,241542,32806,86.4181,67.0315
104,43.6363,256378,123940,51.6573,178.798
105,26.8651,235700,23807,89.8994,25.5928
106,31.8301,38436,2716,92.9337,9.9269
107,50.5096,308670,74712,75.7955,137.519
108,23.1021,210760,35545,83.1348,51.3081
109,54.1859,186747,9536,94.8936,11.108
110,32.2869,266745,107746,59.6071,234.512
111,11.9885,123144,24936,79.7505,45.9997
112,7.32211,12991,1045,91.956,1.4098
113,86.4739,308757,230214,25.4385,309.713
